img,acc,iou,acc_crf,iou_crf
../dataset_ccp/test/photos\0530.jpg,92.0575,69.7984326264,95.83125,86.4431855898
../dataset_ccp/test/photos\0532.jpg,89.69625,53.5513679457,90.7915,57.6823306395
../dataset_ccp/test/photos\0534.jpg,90.939,56.9641616202,90.5315,53.6661404105
../dataset_ccp/test/photos\0536.jpg,61.70825,0.0,64.01225,0.0
../dataset_ccp/test/photos\0539.jpg,85.26875,41.0102350562,85.5525,41.7688913287
../dataset_ccp/test/photos\0540.jpg,75.579,8.28185545698,75.06575,5.52951146511
../dataset_ccp/test/photos\0542.jpg,85.64375,52.0996491413,86.488,54.1115558265
../dataset_ccp/test/photos\0548.jpg,90.226,60.6665710535,90.6945,61.5419626998
../dataset_ccp/test/photos\0549.jpg,88.89925,57.7141884539,89.57575,59.7452426383
../dataset_ccp/test/photos\0550.jpg,80.7145,19.3417310037,81.23325,20.011110627
../dataset_ccp/test/photos\0558.jpg,86.05125,53.8014370011,88.273,62.0454677823
../dataset_ccp/test/photos\0564.jpg,86.224,41.5186264109,89.76375,56.2527750644
../dataset_ccp/test/photos\0565.jpg,88.96025,61.4369239917,91.10125,66.7726870118
../dataset_ccp/test/photos\0567.jpg,93.63225,80.1784171647,95.85875,86.6572153609
../dataset_ccp/test/photos\0572.jpg,91.518,62.3076739201,92.72375,65.1927876576
../dataset_ccp/test/photos\0579.jpg,85.019,46.1180018483,86.004,48.1838391649
../dataset_ccp/test/photos\0589.jpg,92.1025,75.3351918824,93.86,80.0390968274
../dataset_ccp/test/photos\0609.jpg,79.648,21.1761575034,79.23875,19.0990619524
../dataset_ccp/test/photos\0624.jpg,86.704,46.1816280949,86.2155,43.6438923395
../dataset_ccp/test/photos\0629.jpg,83.4565,27.6919944345,83.11875,24.890770071
../dataset_ccp/test/photos\0631.jpg,85.2235,45.0148616423,86.1025,47.3054127638
../dataset_ccp/test/photos\0646.jpg,90.14475,55.1448231717,89.0045,48.6014156106
../dataset_ccp/test/photos\0653.jpg,88.54375,53.2878263331,89.41475,56.5302787727
../dataset_ccp/test/photos\0654.jpg,87.1285,47.8419119662,89.62925,57.55389245
../dataset_ccp/test/photos\0657.jpg,93.7475,80.5172275032,95.54925,85.501710123
../dataset_ccp/test/photos\0662.jpg,91.247,65.3164672834,92.9175,71.0812960337
../dataset_ccp/test/photos\0674.jpg,88.915,44.0888474418,88.75475,41.3946692767
../dataset_ccp/test/photos\0676.jpg,85.25225,32.256394824,85.19975,30.7974637239
../dataset_ccp/test/photos\0681.jpg,86.84875,44.6437648602,88.52725,50.7031803685
../dataset_ccp/test/photos\0686.jpg,83.60125,39.6805404753,85.085,43.7098022796
../dataset_ccp/test/photos\0691.jpg,82.16075,26.0204224838,81.89425,22.6063936007
../dataset_ccp/test/photos\0693.jpg,86.3975,35.7368652715,87.15625,37.2322121386
../dataset_ccp/test/photos\0697.jpg,89.49875,59.0796086256,90.2055,61.5048425824
../dataset_ccp/test/photos\0699.jpg,78.02075,17.7483329086,76.6265,11.198600175
../dataset_ccp/test/photos\0707.jpg,93.09675,71.6624976839,96.14175,84.9231710834
../dataset_ccp/test/photos\0720.jpg,90.362,64.9306485952,92.5065,73.2090910429
../dataset_ccp/test/photos\0722.jpg,87.76,47.9229268349,85.75425,36.8647687249
../dataset_ccp/test/photos\0725.jpg,88.92,56.7781392598,90.7285,63.0765564177
../dataset_ccp/test/photos\0738.jpg,82.5485,27.976560324,82.42075,26.5551817759
../dataset_ccp/test/photos\0739.jpg,82.18875,29.5925173176,83.947,33.9833432734
../dataset_ccp/test/photos\0741.jpg,86.08325,52.5682074197,87.222,55.1022922175
../dataset_ccp/test/photos\0742.jpg,86.52875,60.1336322023,89.7725,71.4288770145
../dataset_ccp/test/photos\0744.jpg,84.045,28.2678302916,84.034,27.0289238748
../dataset_ccp/test/photos\0748.jpg,86.261,42.0589375515,84.857,35.1275192116
../dataset_ccp/test/photos\0750.jpg,89.72975,59.1692306011,90.44325,60.844431238
../dataset_ccp/test/photos\0754.jpg,88.06575,38.4674221957,88.59475,39.6591976767
../dataset_ccp/test/photos\0768.jpg,89.801,59.1096552465,91.2235,64.3143015285
../dataset_ccp/test/photos\0770.jpg,87.955,63.1509563839,87.47325,60.6754865369
../dataset_ccp/test/photos\0773.jpg,94.663,79.9045213578,95.3645,81.4396604617
../dataset_ccp/test/photos\0776.jpg,93.7815,77.0978504622,96.70025,88.4513249959
../dataset_ccp/test/photos\0777.jpg,89.41525,62.4281754884,90.7695,66.2795165908
../dataset_ccp/test/photos\0781.jpg,90.964,50.674437117,93.167,63.0845976436
../dataset_ccp/test/photos\0783.jpg,80.811,30.4571058272,84.48125,43.0680963599
../dataset_ccp/test/photos\0787.jpg,88.1685,54.1729495499,89.3865,58.4227713405
../dataset_ccp/test/photos\0797.jpg,72.9635,16.5104454336,74.165,18.3227842952
../dataset_ccp/test/photos\0803.jpg,90.8255,66.4631697325,92.26625,70.9823489983
../dataset_ccp/test/photos\0805.jpg,86.2385,32.1011699466,84.72475,21.5787068769
../dataset_ccp/test/photos\0812.jpg,87.717,41.9244764939,87.145,38.4849016617
../dataset_ccp/test/photos\0818.jpg,90.17175,57.6429202696,93.456,71.4599726409
../dataset_ccp/test/photos\0828.jpg,92.63925,69.1363196359,95.13325,79.9373111954
../dataset_ccp/test/photos\0833.jpg,94.9855,80.7380634088,96.5965,86.8406300494
../dataset_ccp/test/photos\0836.jpg,90.17325,56.9759158041,92.155,65.3067112238
../dataset_ccp/test/photos\0841.jpg,81.50375,14.0957412867,82.39075,14.5016812021
../dataset_ccp/test/photos\0856.jpg,89.76125,61.3422818792,91.755,69.2343242837
../dataset_ccp/test/photos\0861.jpg,89.764,60.0019508489,92.7225,71.4358786238
../dataset_ccp/test/photos\0867.jpg,86.20475,46.3101263219,86.89125,48.4723912087
../dataset_ccp/test/photos\0868.jpg,82.86975,28.985269071,82.9265,29.7577396878
../dataset_ccp/test/photos\0869.jpg,90.6985,67.3217136712,93.01125,75.1019103189
../dataset_ccp/test/photos\0870.jpg,84.1665,53.2931297629,88.412,59.067357513
../dataset_ccp/test/photos\0871.jpg,94.80025,75.1023526022,96.1495,81.6177359758
../dataset_ccp/test/photos\0875.jpg,91.3425,70.4026811651,95.15275,83.469830265
../dataset_ccp/test/photos\0876.jpg,92.871,71.9794152745,96.33075,86.0651744463
../dataset_ccp/test/photos\0879.jpg,90.53525,66.5649317936,90.6825,66.4892101877
../dataset_ccp/test/photos\0882.jpg,82.755,28.4493651162,83.235,29.1389515381
../dataset_ccp/test/photos\0897.jpg,83.9515,24.4335202863,84.24075,25.0124692886
../dataset_ccp/test/photos\0900.jpg,86.61125,52.3664768167,87.10375,52.0090044382
../dataset_ccp/test/photos\0912.jpg,88.09725,52.6728257752,88.276,52.716492077
../dataset_ccp/test/photos\0913.jpg,83.71925,35.8273102379,84.1765,38.3037092073
../dataset_ccp/test/photos\0927.jpg,82.16525,32.293151466,82.54675,33.1331353193
../dataset_ccp/test/photos\0935.jpg,86.769,42.5448112802,87.42175,44.4287987545
../dataset_ccp/test/photos\0943.jpg,94.73475,80.2767191988,96.14625,85.2616348666
../dataset_ccp/test/photos\0956.jpg,90.835,66.289315335,92.8295,72.633276767
../dataset_ccp/test/photos\0958.jpg,91.8965,74.5755739867,94.3355,82.7003118237
../dataset_ccp/test/photos\0963.jpg,84.08375,46.9086477782,86.21475,53.4536176417
../dataset_ccp/test/photos\0964.jpg,82.484,25.849191116,82.26325,23.1961117808
../dataset_ccp/test/photos\0966.jpg,83.68725,30.3129442025,83.469,28.6094704858
../dataset_ccp/test/photos\0968.jpg,91.31075,71.6466959256,94.81275,83.0945782089
../dataset_ccp/test/photos\0973.jpg,92.18675,69.3069201707,94.33225,77.8655241871
../dataset_ccp/test/photos\0978.jpg,85.46825,32.3013296463,85.4365,31.0211121168
../dataset_ccp/test/photos\0980.jpg,80.04125,20.3119188461,80.35725,20.868562448
../dataset_ccp/test/photos\0986.jpg,86.70675,30.3899367595,86.8025,29.8764112777
../dataset_ccp/test/photos\0989.jpg,85.0,35.7365789268,84.7375,33.687731053
../dataset_ccp/test/photos\0993.jpg,91.96975,64.3899046469,94.43,75.446962862
../dataset_ccp/test/photos\0997.jpg,85.156,24.3978529155,85.53825,25.1483952303
../dataset_ccp/test/photos\0998.jpg,78.084,20.8351422636,77.28825,17.2503096498
../dataset_ccp/test/photos\0999.jpg,89.00975,57.9421021832,89.5345,59.6805738373
../dataset_ccp/test/photos\1002.jpg,88.83375,42.8675922208,89.6195,45.7918906566
